date,lounge_name,total_guests
2020-03-01,F,1877
2020-03-01,G,372
2020-03-02,EK,1705
2020-03-02,EL,1626
2020-03-02,EM,944
2020-03-02,F,2213
2020-03-02,G,419
2020-03-03,EK,1415
2020-03-03,EL,1293
2020-03-03,EM,844
2020-03-03,F,1985
2020-03-03,G,316
2020-03-04,EK,1383
2020-03-04,EL,1260
2020-03-04,EM,600
2020-03-04,F,1934
2020-03-04,G,357
2020-03-05,EK,1141
2020-03-05,EL,1194
2020-03-05,EM,736
2020-03-05,F,2093
2020-03-05,G,335
2020-03-06,EK,1222
2020-03-06,EL,1206
2020-03-06,EM,779
2020-03-06,F,2498
2020-03-06,G,382
2020-03-07,EK,1288
2020-03-07,EL,1212
2020-03-07,EM,725
2020-03-07,F,1503
2020-03-07,G,247
2020-03-08,EK,1232
2020-03-08,EL,1209
2020-03-08,EM,743
2020-03-08,F,1518
2020-03-08,G,248
2020-03-09,EK,1301
2020-03-09,EL,1216
2020-03-09,EM,718
2020-03-09,F,1658
2020-03-09,G,309
2020-03-10,EK,1119
2020-03-10,EL,831
2020-03-10,EM,618
2020-03-10,F,1402
2020-03-10,G,225
2020-03-11,EK,989
2020-03-11,EL,727
2020-03-11,EM,597
2020-03-11,F,1403
2020-03-11,G,269
2020-03-12,EK,1019
2020-03-12,EL,968
2020-03-12,EM,656
2020-03-12,F,1532
2020-03-12,G,220
2020-03-13,EK,1044
2020-03-13,EL,854
2020-03-13,EM,577
2020-03-13,F,1657
2020-03-13,G,299
2020-03-14,EK,825
2020-03-14,EL,591
2020-03-14,EM,418
2020-03-14,F,1137
2020-03-14,G,182
2020-03-15,EK,786
2020-03-15,EL,557
2020-03-15,EM,290
2020-03-15,F,858
2020-03-15,G,159
2020-03-16,EK,668
2020-03-16,EL,385
2020-03-16,EM,301
2020-03-16,F,756
2020-03-16,G,158
2020-03-17,EK,737
2020-03-17,EL,363
2020-03-17,EM,344
2020-03-17,F,627
2020-03-17,G,135
2020-03-18,EK,481
2020-03-18,EL,266
2020-03-18,EM,186
2020-03-18,F,582
2020-03-18,G,126
2020-03-19,EK,308
2020-03-19,EL,187
2020-03-19,EM,175
2020-03-19,F,496
2020-03-19,G,86
2020-03-20,EK,254
2020-03-20,EL,155
2020-03-20,EM,126
2020-03-20,F,399
2020-03-20,G,96
2020-03-21,EK,169
2020-03-21,EL,115
2020-03-21,EM,83
2020-03-21,F,340
2020-03-21,G,73
2020-03-22,EK,180
2020-03-22,EL,56
2020-03-22,EM,77
2020-03-22,F,386
2020-03-22,G,44
2020-03-23,EK,82
2020-03-23,F,169
2020-03-24,EK,58
2020-03-24,EL,3
2020-03-24,F,105
2020-03-25,EK,83
2020-03-25,F,96
2020-03-26,EK,82
2020-03-26,F,74
2020-03-27,EK,51
2020-03-27,F,91
2020-03-28,EK,28
2020-03-28,F,50
2020-03-29,EK,22
2020-03-29,F,55
2020-03-30,EK,34
2020-03-30,F,24
2020-03-31,EK,6
2020-03-31,F,15
2020-04-01,EK,11
2020-04-01,F,29
2020-04-02,EK,11
2020-04-02,F,13
2020-04-03,EK,19
2020-04-03,F,27
2020-04-04,EK,11
2020-04-04,F,37
2020-04-05,EK,12
2020-04-05,F,49
2020-06-11,F,7
2020-06-16,F,367
2020-06-17,F,611
2020-06-18,F,706
2020-06-19,F,737
2020-06-20,F,475
2020-06-21,F,390
2020-06-22,F,620
2020-06-23,F,760
2020-06-24,F,939
2020-06-25,EK,1
2020-06-25,F,1148
2020-06-26,F,1272
2020-06-27,F,703
2020-06-28,F,701
2020-06-29,F,929
2020-06-30,F,916
2020-07-01,F,1441
2020-07-02,EM,3
2020-07-02,F,1388
2020-07-03,F,1722
2020-07-04,F,977
2020-07-05,F,908
2020-07-06,F,1581
2020-07-07,F,1480
2020-07-08,F,1625
2020-07-09,F,2141
2020-07-10,EK,4
2020-07-10,F,2465
2020-07-11,F,1785
2020-07-12,F,1016
2020-07-13,F,1015
2020-07-14,F,838
2020-07-15,F,1426
2020-07-16,F,1489
2020-07-17,F,1956
2020-07-18,F,1207
2020-07-19,F,1160
2020-07-20,F,1647
2020-07-21,F,1332
2020-07-22,F,1742
2020-07-23,F,1974
2020-07-24,EK,3
2020-07-24,F,2274
2020-07-25,EK,1
2020-07-25,F,1333
2020-07-26,F,1186
2020-07-27,F,1584
2020-07-28,F,1442
2020-07-29,F,1805
2020-07-30,EK,2
2020-07-30,F,1972
2020-07-31,F,2289
2020-08-01,F,1878
2020-08-02,F,1639
2020-08-03,F,1465
2020-08-04,EK,2
2020-08-04,F,1288
2020-08-05,EK,481
2020-08-05,EL,6
2020-08-05,F,1335
2020-08-06,EK,698
2020-08-06,F,1438
2020-08-07,EK,639
2020-08-07,F,1594
2020-08-08,EK,856
2020-08-08,F,1481
2020-08-09,EK,675
2020-08-09,F,1270
2020-08-10,EK,832
2020-08-10,F,1213
2020-08-11,EK,489
2020-08-11,F,1072
2020-08-12,EK,481
2020-08-12,F,1145
2020-08-13,EK,586
2020-08-13,F,1275
2020-08-14,EK,651
2020-08-14,F,1443
2020-08-15,EK,879
2020-08-15,F,1182
2020-08-16,EK,738
2020-08-16,F,1214
2020-08-17,EK,811
2020-08-17,F,1349
2020-08-18,EK,499
2020-08-18,F,1052
2020-08-19,EK,622
2020-08-19,F,1098
2020-08-20,EK,715
2020-08-20,F,1193
2020-08-21,EK,599
2020-08-21,F,1413
2020-08-22,EK,785
2020-08-22,EL,1
2020-08-22,F,1113
2020-08-23,EK,757
2020-08-23,F,965
2020-08-24,EK,835
2020-08-24,F,1368
2020-08-25,EK,635
2020-08-25,F,1125
2020-08-26,EK,725
2020-08-26,F,1269
2020-08-27,EK,790
2020-08-27,F,1491
2020-08-28,EK,691
2020-08-28,F,1620
2020-08-29,EK,929
2020-08-29,F,912
2020-08-30,EK,843
2020-08-30,F,931
2020-08-31,EK,809
2020-08-31,F,1196
2020-09-01,EK,660
2020-09-01,F,949
2020-09-02,EK,580
2020-09-02,F,1007
2020-09-03,EK,786
2020-09-03,F,1249
2020-09-04,EK,573
2020-09-04,F,1498
2020-09-05,EK,806
2020-09-05,F,776
2020-09-06,EK,756
2020-09-06,F,904
2020-09-07,EK,861
2020-09-07,F,1188
2020-09-08,EK,557
2020-09-08,F,947
2020-09-09,EK,548
2020-09-09,EM,1
2020-09-09,F,1186
2020-09-10,EK,730
2020-09-10,F,1463
2020-09-11,EK,547
2020-09-11,F,1620
2020-09-12,EK,774
2020-09-12,F,878
2020-09-13,EK,762
2020-09-13,F,1009
2020-09-14,EK,689
2020-09-14,F,1254
2020-09-15,EK,635
2020-09-15,F,950
2020-09-16,EK,635
2020-09-16,F,1133
2020-09-17,EK,744
2020-09-17,F,1371
2020-09-18,EK,656
2020-09-18,F,1564
2020-09-19,EK,781
2020-09-19,F,796
2020-09-20,EK,773
2020-09-20,EM,2
2020-09-20,F,855
2020-09-21,EK,687
2020-09-21,F,1221
2020-09-22,EK,563
2020-09-22,F,891
2020-09-23,EK,652
2020-09-23,F,978
2020-09-24,EK,707
2020-09-24,F,1248
2020-09-25,EK,691
2020-09-25,F,1409
2020-09-26,EK,752
2020-09-26,F,799
2020-09-27,EK,796
2020-09-27,F,797
2020-09-28,EK,669
2020-09-28,EM,2
2020-09-28,F,971
2020-09-29,EK,565
2020-09-29,F,855
2020-09-30,EK,688
2020-09-30,F,1003
2020-10-01,EK,745
2020-10-01,F,1252
2020-10-02,EK,660
2020-10-02,F,1353
2020-10-03,EK,812
2020-10-03,F,773
2020-10-04,EK,811
2020-10-04,F,764
2020-10-05,EK,789
2020-10-05,F,987
2020-10-06,EK,522
2020-10-06,EL,1
2020-10-06,F,798
2020-10-07,EK,595
2020-10-07,EL,52
2020-10-07,F,1000
2020-10-08,EK,648
2020-10-08,EL,17
2020-10-08,F,1218
2020-10-09,EK,648
2020-10-09,EL,36
2020-10-09,F,1377
2020-10-10,EK,841
2020-10-10,EL,55
2020-10-10,F,750
2020-10-11,EK,647
2020-10-11,EL,41
2020-10-11,F,728
2020-10-12,EK,721
2020-10-12,EL,63
2020-10-12,F,1073
2020-10-13,EK,535
2020-10-13,EL,40
2020-10-13,F,820
2020-10-14,EK,628
2020-10-14,EL,52
2020-10-14,F,928
2020-10-15,EK,763
2020-10-15,EL,40
2020-10-15,F,1073
2020-10-16,EK,665
2020-10-16,EL,31
2020-10-16,F,1419
2020-10-17,EK,990
2020-10-17,EL,65
2020-10-17,F,1097
2020-10-18,EK,823
2020-10-18,EL,11
2020-10-18,F,865
2020-10-19,EK,710
2020-10-19,EL,54
2020-10-19,F,948
2020-10-20,EK,497
2020-10-20,EL,67
2020-10-20,F,724
2020-10-21,EK,663
2020-10-21,EL,34
2020-10-21,F,887
2020-10-22,EK,723
2020-10-22,EL,43
2020-10-22,F,1136
2020-10-23,EK,632
2020-10-23,EL,42
2020-10-23,F,1315
2020-10-24,EK,857
2020-10-24,EL,65
2020-10-24,F,973
2020-10-25,EK,789
2020-10-25,EL,55
2020-10-25,F,792
2020-10-26,EK,663
2020-10-26,EL,39
2020-10-26,F,904
2020-10-27,EK,537
2020-10-27,EL,60
2020-10-27,F,632
2020-10-28,EK,664
2020-10-28,EL,90
2020-10-28,F,861
2020-10-29,EK,840
2020-10-29,EL,37
2020-10-29,F,1133
2020-10-30,EK,848
2020-10-30,EL,81
2020-10-30,F,957
2020-10-31,EK,801
2020-10-31,EL,77
2020-10-31,F,558
2020-11-01,EK,913
2020-11-01,EL,39
2020-11-01,F,579
2020-11-02,EK,673
2020-11-02,EL,52
2020-11-02,F,577
2020-11-03,EK,498
2020-11-03,F,305
2020-11-04,EK,574
2020-11-04,EL,47
2020-11-04,F,329
2020-11-05,EK,555
2020-11-05,EL,94
2020-11-05,F,343
2020-11-06,EK,535
2020-11-06,EL,66
2020-11-06,F,491
2020-11-07,EK,567
2020-11-07,EL,125
2020-11-07,F,240
2020-11-08,EK,617
2020-11-08,EL,58
2020-11-08,F,443
2020-11-09,EK,455
2020-11-09,EL,35
2020-11-09,F,376
2020-11-10,EK,425
2020-11-10,EL,59
2020-11-10,F,257
2020-11-11,EK,543
2020-11-11,EL,70
2020-11-11,F,320
2020-11-12,EK,434
2020-11-12,EL,52
2020-11-12,F,291
2020-11-13,EK,435
2020-11-13,EL,19
2020-11-13,F,425
2020-11-14,EK,482
2020-11-14,EL,97
2020-11-14,F,298
2020-11-15,EK,645
2020-11-15,EL,109
2020-11-15,F,297
2020-11-16,EK,407
2020-11-16,EL,85
2020-11-16,F,506
2020-11-17,EK,348
2020-11-17,EL,7
2020-11-17,F,338
2020-11-18,EK,480
2020-11-18,EL,42
2020-11-18,F,343
2020-11-19,EK,496
2020-11-19,EL,66
2020-11-19,F,410
2020-11-20,EK,471
2020-11-20,EL,81
2020-11-20,F,568
2020-11-21,EK,471
2020-11-21,EL,159
2020-11-21,F,329
2020-11-22,EK,643
2020-11-22,EL,44
2020-11-22,F,463
2020-11-23,EK,466
2020-11-23,EL,41
2020-11-23,F,452
2020-11-24,EK,407
2020-11-24,EL,17
2020-11-24,F,313
2020-11-25,EK,515
2020-11-25,EL,91
2020-11-25,F,418
2020-11-26,EK,501
2020-11-26,EL,104
2020-11-26,F,455
2020-11-27,EK,465
2020-11-27,EL,70
2020-11-27,F,668
2020-11-28,EK,403
2020-11-28,EL,159
2020-11-28,F,323
2020-11-29,EK,510
2020-11-29,EL,168
2020-11-29,F,428
2020-11-30,EK,389
2020-11-30,EL,187
2020-11-30,F,528
2020-12-01,EK,407
2020-12-01,EL,88
2020-12-01,F,460
2020-12-02,EK,505
2020-12-02,EL,126
2020-12-02,F,412
2020-12-03,EK,499
2020-12-03,EL,116
2020-12-03,F,534
2020-12-04,EK,607
2020-12-04,EL,163
2020-12-04,F,698
2020-12-05,EK,557
2020-12-05,EL,256
2020-12-05,F,441
2020-12-06,EK,714
2020-12-06,EL,182
2020-12-06,F,423
2020-12-07,EK,592
2020-12-07,EL,92
2020-12-07,F,588
2020-12-08,EK,393
2020-12-08,EL,137
2020-12-08,F,554
2020-12-09,EK,615
2020-12-09,EL,93
2020-12-09,F,484
2020-12-10,EK,564
2020-12-10,EL,114
2020-12-10,F,554
2020-12-11,EK,711
2020-12-11,EL,144
2020-12-11,F,676
2020-12-12,EK,633
2020-12-12,EL,273
2020-12-12,F,463
2020-12-13,EK,797
2020-12-13,EL,142
2020-12-13,F,488
2020-12-14,EK,596
2020-12-14,EL,133
2020-12-14,F,769
2020-12-15,EK,718
2020-12-15,EL,165
2020-12-15,F,655
2020-12-16,EK,738
2020-12-16,EL,166
2020-12-16,F,744
2020-12-17,EK,688
2020-12-17,EL,250
2020-12-17,F,885
2020-12-18,EK,1190
2020-12-18,EL,271
2020-12-18,F,1300
2020-12-19,EK,1228
2020-12-19,EL,395
2020-12-19,F,1051
2020-12-20,EK,1070
2020-12-20,EL,293
2020-12-20,F,965
2020-12-21,EK,575
2020-12-21,EL,295
2020-12-21,EM,1
2020-12-21,F,751
2020-12-22,EK,760
2020-12-22,EL,231
2020-12-22,F,882
2020-12-23,EK,740
2020-12-23,EL,234
2020-12-23,F,907
2020-12-24,EK,548
2020-12-24,EL,175
2020-12-24,F,466
2020-12-25,EK,833
2020-12-25,EL,195
2020-12-25,F,381
2020-12-26,EK,1144
2020-12-26,EL,274
2020-12-26,F,615
2020-12-27,EK,1004
2020-12-27,EL,296
2020-12-27,F,715
2020-12-28,EK,675
2020-12-28,EL,222
2020-12-28,F,600
2020-12-29,EK,743
2020-12-29,EL,281
2020-12-29,F,540
2020-12-30,EK,777
2020-12-30,EL,291
2020-12-30,F,573
2020-12-31,EK,514
2020-12-31,EL,208
2020-12-31,F,400
2021-01-01,EK,570
2021-01-01,EL,185
2021-01-01,F,293
2021-01-02,EK,825
2021-01-02,EL,439
2021-01-02,F,476
2021-01-03,EK,1040
2021-01-03,EL,450
2021-01-03,F,645
2021-01-04,EK,725
2021-01-04,EL,358
2021-01-04,F,709
2021-01-05,EK,791
2021-01-05,EL,336
2021-01-05,F,578
2021-01-06,EK,766
2021-01-06,EL,267
2021-01-06,F,710
2021-01-07,EK,903
2021-01-07,EL,300
2021-01-07,F,737
2021-01-08,EK,875
2021-01-08,EL,219
2021-01-08,F,840
2021-01-09,EK,868
2021-01-09,EL,318
2021-01-09,F,519
2021-01-10,EK,1056
2021-01-10,EL,358
2021-01-10,F,736
2021-01-11,EK,740
2021-01-11,EL,248
2021-01-11,F,829
2021-01-12,EK,676
2021-01-12,EL,215
2021-01-12,F,664
2021-01-13,EK,608
2021-01-13,EL,133
2021-01-13,F,785
2021-01-14,EK,732
2021-01-14,EL,185
2021-01-14,F,863
2021-01-15,EK,742
2021-01-15,EL,232
2021-01-15,F,890
2021-01-16,EK,655
2021-01-16,EL,353
2021-01-16,F,452
2021-01-17,EK,865
2021-01-17,EL,300
2021-01-17,F,538
2021-01-18,EK,536
2021-01-18,EL,312
2021-01-18,F,599
2021-01-19,EK,455
2021-01-19,EL,171
2021-01-19,F,476
2021-01-20,EK,564
2021-01-20,EL,209
2021-01-20,F,566
2021-01-21,EK,587
2021-01-21,EL,219
2021-01-21,F,637
2021-01-22,EK,602
2021-01-22,EL,200
2021-01-22,F,868
2021-01-23,EK,548
2021-01-23,EL,331
2021-01-23,F,438
2021-01-24,EK,666
2021-01-24,EL,304
2021-01-24,F,615
2021-01-25,EK,561
2021-01-25,EL,230
2021-01-25,F,584
2021-01-26,EK,478
2021-01-26,EL,198
2021-01-26,F,440
2021-01-27,EK,503
2021-01-27,EL,103
2021-01-27,F,578
2021-01-28,EK,572
2021-01-28,EL,191
2021-01-28,F,672
2021-01-29,EK,582
2021-01-29,EL,186
2021-01-29,F,718
2021-01-30,EK,680
2021-01-30,EL,350
2021-01-30,F,484
2021-01-31,EK,711
2021-01-31,EL,311
2021-01-31,F,528
2021-02-02,EK,465
2021-02-02,EL,106
2021-02-02,F,449
2021-02-03,EK,472
2021-02-03,EL,99
2021-02-03,F,493
2021-02-04,EK,397
2021-02-04,EL,156
2021-02-04,F,550
2021-02-05,EK,429
2021-02-05,EL,172
2021-02-05,F,690
2021-02-06,EK,506
2021-02-06,EL,167
2021-02-06,F,402
2021-02-07,EK,501
2021-02-07,EL,146
2021-02-07,F,506
2021-02-08,EK,401
2021-02-08,EL,147
2021-02-08,F,634
2021-02-09,EK,309
2021-02-09,EL,98
2021-02-09,F,425
2021-02-10,EK,456
2021-02-10,EL,84
2021-02-10,F,489
2021-02-11,EK,458
2021-02-11,EL,158
2021-02-11,F,604
2021-02-12,EK,466
2021-02-12,EL,149
2021-02-12,EM,1
2021-02-12,F,793
2021-02-13,EK,463
2021-02-13,EL,246
2021-02-13,F,578
2021-02-14,EK,589
2021-02-14,EL,194
2021-02-14,F,517
2021-02-15,EK,385
2021-02-15,EL,142
2021-02-15,F,531
2021-02-16,EK,293
2021-02-16,EL,117
2021-02-16,F,448
2021-02-17,EK,432
2021-02-17,EL,106
2021-02-17,F,597
2021-02-18,EK,482
2021-02-18,EL,93
2021-02-18,F,694
2021-02-19,EK,513
2021-02-19,EL,152
2021-02-19,F,763
2021-02-20,EK,454
2021-02-20,EL,222
2021-02-20,F,551
2021-02-21,EK,605
2021-02-21,EL,176
2021-02-21,F,586
2021-02-22,EK,396
2021-02-22,EL,140
2021-02-22,F,572
2021-02-23,EK,326
2021-02-23,EL,133
2021-02-23,F,530
2021-02-24,EK,420
2021-02-24,EL,74
2021-02-24,F,572
2021-02-25,EK,416
2021-02-25,EL,138
2021-02-25,F,608
2021-02-26,EK,537
2021-02-26,EL,119
2021-02-26,F,758
2021-02-27,EK,415
2021-02-27,EL,209
2021-02-27,F,441
2021-02-28,EK,578
2021-02-28,EL,216
2021-02-28,F,562
2021-03-01,EK,503
2021-03-01,EL,140
2021-03-01,F,595
2021-03-02,EK,460
2021-03-02,EL,119
2021-03-02,F,443
2021-03-03,EK,490
2021-03-03,EL,122
2021-03-03,F,547
2021-03-04,EK,436
2021-03-04,EL,200
2021-03-04,F,679
2021-03-05,EK,523
2021-03-05,EL,146
2021-03-05,F,846
2021-03-06,EK,503
2021-03-06,EL,225
2021-03-06,F,465
2021-03-07,EK,537
2021-03-07,EL,164
2021-03-07,F,566
2021-03-08,EK,409
2021-03-08,EL,241
2021-03-08,F,653
2021-03-09,EK,427
2021-03-09,EL,131
2021-03-09,F,549
2021-03-10,EK,506
2021-03-10,EL,149
2021-03-10,F,618
2021-03-11,EK,519
2021-03-11,EL,153
2021-03-11,F,810
2021-03-12,EK,589
2021-03-12,EL,154
2021-03-12,F,825
2021-03-13,EK,500
2021-03-13,EL,212
2021-03-13,EM,1
2021-03-13,F,490
2021-03-14,EK,735
2021-03-14,EL,74
2021-03-14,F,514
2021-03-15,EK,512
2021-03-15,EL,173
2021-03-15,F,628
2021-03-16,EK,435
2021-03-16,EL,153
2021-03-16,F,578
2021-03-17,EK,526
2021-03-17,EL,114
2021-03-17,F,633
2021-03-18,EK,464
2021-03-18,EL,197
2021-03-18,F,716
2021-03-19,EK,583
2021-03-19,EL,152
2021-03-19,F,834
2021-03-20,EK,565
2021-03-20,EL,213
2021-03-20,F,501
2021-03-21,EK,683
2021-03-21,EL,131
2021-03-21,F,620
2021-03-22,EK,559
2021-03-22,EL,160
2021-03-22,F,642
2021-03-23,EK,531
2021-03-23,EL,82
2021-03-23,F,614
2021-03-24,EK,560
2021-03-24,EL,166
2021-03-24,F,631
2021-03-25,EK,562
2021-03-25,EL,209
2021-03-25,F,743
2021-03-26,EK,589
2021-03-26,EL,228
2021-03-26,F,746
2021-03-27,EK,584
2021-03-27,EL,187
2021-03-27,F,545
2021-03-28,EK,575
2021-03-28,EL,211
2021-03-28,F,511
2021-03-29,EK,478
2021-03-29,EL,204
2021-03-29,F,646
2021-03-30,EK,406
2021-03-30,EL,140
2021-03-30,F,561
2021-03-31,EK,548
2021-03-31,EL,149
2021-03-31,F,642
2021-04-01,EK,592
2021-04-01,EL,221
2021-04-01,F,792
2021-04-02,EK,574
2021-04-02,EL,214
2021-04-02,F,780
2021-04-03,EK,604
2021-04-03,EL,179
2021-04-03,F,505
